,static,sentence
207,油门踏板,"加不起油,加不起油,油门踏板损坏"
208,上罩,"上罩大块掉漆,大块掉漆,开裂起皮脱落"
209,上罩,"机罩两边大面积掉漆。,用户反应该机发动机罩左右两侧严重跳漆,经拆卸机罩做漆重新装配后试机，该机发动机罩跳漆恢复正常，故障排除"
210,螺栓,"挂挡手柄掉了,挂档手柄完全松动，固定螺栓脱落。,手柄固定螺栓松动。"
211,螺栓,"漏油,变速箱外部油管漏油！,油管螺栓松动！"
212,雨刮总成,"雨刮器不工作,客户反馈雨刮，刮不起,电机内部损坏，重新更换电机后试车正常"
213,加力器,"加力器漏油，刹车卡死,用热后，加油口满油,加力器卡死"
214,左门锁,"左门锁损坏,左门锁失效,由于左门锁门把手断裂造成左门锁失效"
215,上罩,"上罩掉漆,掉漆,更换上罩 正常使用"
216,气管接头,"刹车不灵,刹车不灵,紧固管路接头后试车正常"
217,空调压缩机,"异响,不制冷,更换压缩机后，故障排除"
218,雨刮总成,"雨刷电机损坏,雨刷损坏,内部齿条断裂"
219,上罩,"发动机罩油漆脱落,左右两侧油漆开裂脱落,油漆脱落"
220,上罩,"上罩大块掉漆,掉漆,脱落"
221,上罩支架,"上罩断裂,上罩断裂,产品设计缺陷"
222,上罩支架,"罩支架断裂及空气滤芯支架断裂,上罩支架断裂,上罩支架断裂"
223,下铰接螺栓,"铰链销固定螺丝脱落，销轴异位,铰接销螺丝脱落，铰接销上移动碰传动轴,取出铰接断螺丝，重新安装后一切正常"
224,气制动阀总成,"制动阀漏气,制动阀漏气,制动阀损坏，更换制动阀"
225,气管接头,"装载机打不起气,装载机打不起气,因气管松动漏气导致打不起气"
226,螺栓,"销断离,整车异响！,螺栓脱落。"
227,气制动阀总成,"制动踏板会反弹,用户报修机子刹车跳,双路制动阀反弹脚的力度过大造成刹车跳，更换新双路制动阀后试机正常。"
228,上罩支架,"发动机上罩开裂,上罩开裂,上罩断裂"
229,前桥螺栓,"整改排气管 前桥固定螺栓断裂,前桥左后方内测固定螺栓顶部断裂,断裂"
230,上罩,"上罩脱漆,上罩掉漆,上罩掉漆"
231,上罩,"上罩出现大片掉漆,上罩脱漆,上罩脱漆"
232,放水阀,"储气罐放水阀漏油,放水阀损坏,更换后使用正常"
233,上罩支架,"更换支架,支撑架钢管断裂,支架脆弱"
234,组合阀,"不上气压车无法行走,组合阀漏气,组合阀漏气导致整机无法行走"
235,工作泵,"动臂提升慢,大臂提升慢,主液压泵损坏，压力不够"
236,气管接头,"气包漏气,漏气,切断阀气管漏气"
237,加力器,"前桥刹车钳冒烟，抱死。,刹车冒烟加力器不回位。,加力器内部卡死。"
238,上罩,"上罩开裂,发动机机罩盖爆漆,发动机机罩爆漆"
239,换档软轴,"机子反映慢,该机挂档不好挂，挂档费力，档位反应慢,该机挂档不好挂，挂档费力，档位反应慢，经检查是变速操纵阀软轴位置调整不当，有间隙偏差导致挂档费力"
240,油管接头,"漏油,该机漏油是从先导阀至分配阀软管靠分配阀一侧管子接头处漏油,该机先导阀至分配阀软管靠分配阀一侧管子接头处漏油是因为该管子接头松动所致！"
241,油管接头,"漏油,该机在起升动臂时动臂油缸进油管接头处有液压油油渗出！,该机在起升动臂时动臂油缸进油管接头处有液压油渗出是因为该动臂油缸进油管接头密封不严所致！"
242,上罩,"上罩爆漆,上罩脱漆,上罩脱漆"
243,上罩支架,"支撑架断裂前往更换,发动机顶部支架断裂,发动机顶部支架受力不均匀"
244,上罩,"后机罩掉漆,后机罩上罩掉漆,更换上罩故障排除"
245,雨刮总成,"雨刮电机不动。,客户报修前雨刮不会动,隧道施工，电机长期运转，导致烧毁"
246,上罩支架,"上机罩支架断裂。,发动机上罩支架断裂,支架受力不均匀，导致断裂"
247,左门锁,"驾驶室右边门锁螺栓脱落,右边驾驶室门锁锁芯螺栓脱落,驾驶室右边门锁锁芯螺栓脱落"
248,气管接头,"漏气,漏气,加力器管头松动导致漏气"
249,气制动阀总成,"拖刹,拖刹,更换制动阀总成试机正常"
250,前传动轴及支承总成,"前桥异响,故障现象为前桥异响,经更换前桥支撑座后，整机正常工作"
251,螺栓,"驾驶室及后机罩打不开。,驾驶室门从外面打不开,门锁固定螺丝松动，导致开门拉杆间隙不够"
252,加力器,"加力器,没有有时候没有刹车,后加力器坏"
253,加力器,"加力器故障,突然一下没有刹车,加力器卡死"
254,上罩支架,"顶盖支架开裂,顶盖支架开裂,支架钢管开裂，"
255,加力器,"车辆元刹车；车辆无刹车,刹车失灵,正常磨损"
256,上罩支架,"后罩支架断裂及空气滤芯支架断裂,支架断裂,发动机上罩支架断裂"
257,螺栓,"变速箱输出轴漏油,用户来电报修变速箱输出轴漏油,螺栓断裂"
258,螺栓,"变速箱漏油,变速箱双双联泵漏油,双联泵螺丝松动"
259,O型圈,"分配阀漏油,经现场发现分配阀管路漏油,O型圈损坏"
260,上罩,"上罩开裂,上罩油漆脱落,质量问题"
261,动臂缸大小腔软管,"加力器返刹车油，油管漏油,动臂油管起包，漏油,油管起包，压口漏油"
262,加力器,"加力器返刹车油，油管漏油,加力器返刹车油,热车工作时，加力器返刹车油"
263,上罩支架,"上机罩支架断裂。,发动机上罩支架断裂,受力不均匀，导致断裂"
264,刹车管,"刹车油管漏油,右前轮刹车油管断裂,断裂"
265,推拉软轴,"大臂举升慢,大臂举升慢,松动"
266,气制动阀总成,"脚制动漏气严重,制动阀漏气完成不能制动,制动阀损坏"
267,上罩支架,"更换支架，三餐索赔,发动机顶部支架断裂,发动机顶部支架受力不均匀"
268,起动机,"用户于2019-6-14购买CLG850HZCKL626065装载机，该车在大屯施工，用户反映该车打不着火，起动机坏了。,用户反映车打不着火。,经服务人员现场检查电源电压、启动线电压、启动继电器保险均正常，检查起动机发现内部线圈烧毁，导致无法启动。"
269,起动机,"起动机拆装,用户反映该车打不着火。,经服务人员现场检查，电源线、起动机电压、起动机继电器保险均正常，检查起动机已经烧死。"
270,O型圈,"漏油,左动臂缸小腔软管接头漏油,更换后试车正常，维修完毕"
271,气管接头,"漏气,漏气,拆检发现组合垫损坏，更换组合垫后试车正常。"
272,螺栓,"漏油,漏油,固定紧螺丝后试车正常"
273,推拉软轴,"大臂举升缓慢,客户反应大臂举升缓慢,重新调整紧固后试车正常"
274,油管接头,"漏油,客户反应漏油,重新紧固后试车正常"
275,工作灯,"大灯不亮及后刹车处理,工作灯真亮,工作灯损坏"
276,雨刮总成,"雨刮器刮不动,雨刮电机不工作,雨刮电机质量有问题"
277,工作泵,"齿轮泵接缝处漏油,齿轮泵漏油,齿轮泵结合处漏油"
278,工作灯,"工作灯进水,前后工作灯不亮,更换总成试机大灯工作正常"
279,上罩,"客户反映发动机上罩开裂，油漆脱落,客户反映该机发动机上罩油漆脱落,现场维修更换发动机上罩后试车正常。"
280,雨刮总成,"雨刮臂不转动,客户在使用过程中发现，雨刮臂断裂，,雨刮臂断裂"
281,气管接头,"气压打不上来,气压报警,气泵接头螺丝松动"
282,换档软轴,"车子没有二档,车子没有二档,螺母松动"
283,前传动轴及支承总成,"传动轴异响,前传动轴损坏,损坏"
284,组合阀,"刹车时踩两脚就没气了，导致无法正常工作,气压不够用，踩俩脚没气压,更换后试车正常"
285,左门锁,"驾驶室左边门打不开。,左门打不开。,门锁损坏。"
286,上罩支架,"机罩支架断裂,支架断掉 窗损坏。,损坏。"
287,前传动轴及支承总成,"前传动有异响,车辆行走时有异响,轴承损?导致行走有导响"
288,气制动阀总成,"刹车高温,刹车高温,内部损坏导致"
289,燃油箱,"更换柴油箱及柱塞泵,柴油箱漏油,焊接出破裂导致漏油"
290,气管接头,"漏气,客户报修踩刹车时漏气严重,紧固软管固定螺栓后试车正常。"
291,工作泵,"大臂无力,提臂无力,工作泵损坏"
292,换档软轴,"一档有时脱档,车干活时一档脱挡,拉线有问题。调整拉线后正常"
293,压缩机皮带,"空调不制冷,用户反应空调不制冷，,拆下风扇上罩及拆松压缩机皮带涨紧杆，套上压缩机皮带装上调整适当及装上风扇上罩后试机工作正常。"
294,气制动阀总成,"气制动阀漏气,踩刹车漏气,更换新气制动阀"
295,放水阀,"客户反应车子漏气,漏气,放水阀损坏。"
296,下铰接螺栓,"下交接销底端盖螺丝断裂脱落,下交接销底端盖螺丝断裂脱落,断裂脱落"
297,风扇,"风扇损坏,发动机散热风扇叶片断裂,发动机散热风扇叶片断裂"
298,气制动阀总成,"拖刹,拖刹,气制动阀排气"
299,工作泵,"大臂无力,大臂无力,工作泵压力低   工作泵内部泄压"
300,工作泵,"液压泵窜油,大臂无力,工作泵卡死"
301,组合阀,"组合阀漏气,漏气,质量问题"
302,油管接头,"漏油,软管漏油,压接头没有压好，受到油压后漏油"
303,前传动轴及支承总成,"传动轴损坏,该用户反应机器传动轴损坏，。,过桥轴承损坏，传动轴磨损。拆卸传动轴螺丝和过桥轴承固定螺丝。拆卸传动轴，安装新的传动轴后安装并紧固螺丝后试机正常。"
304,O型圈,"漏油,用户反应变速箱漏油，现场检查发现:工作泵出油接头漏油。,更换新O型圈后重新安装工作泵出油接头试车，故障排除。"
305,下铰接螺栓,"铰接螺丝断,铰接螺丝断裂,铰接螺丝断裂"
306,加力器,"刹车不好,用户反应该车刹车效果不好,质量问题"
307,气管接头,"行车时气压跟不上,工作时上气时间太长,气管接头松动"
308,上罩,"上罩爆漆,上机罩爆漆,上机罩爆漆"
309,倒车报警器,"喇叭不响,倒车喇叭不响,倒车喇叭损坏"
310,风扇,"风扇叶断裂,风扇断裂，皮带断裂,风扇断裂，皮带断裂"
311,风扇支架,"风扇支架顺损坏,风扇支架损坏,风扇支架损坏"
312,上罩,"上罩爆漆严重,上机罩爆漆,上机罩爆漆"
